Edad,Sexo,Nivel_Educativo,Estado_Civil,Sector_Economico,Inscrito_Camara_Comercio,Probabilidad_Inscripcion,Prediccion_Modelo,Riesgo_Desercion
65.0,M,QUINTO,NO ESPECIFICA,AGRICOLA,0.0,0.0,No,ALTO
48.0,M,QUINTO,NO ESPECIFICA,SERVICIOS,0.0,0.0,No,ALTO
59.0,M,UNDECIMO,NO ESPECIFICA,AGRICOLA,0.0,0.09,No,ALTO
52.0,M,UNDECIMO,UNION LIBRE,PESQUERO,0.0,0.04,No,ALTO
57.0,M,NOVENO,NO ESPECIFICA,AGRICOLA,0.0,0.04,No,ALTO
47.0,M,UNDECIMO,NO ESPECIFICA,AGRICOLA,0.0,0.01,No,ALTO
45.0,F,UNDECIMO,NO ESPECIFICA,SERVICIOS,0.0,0.0866666666666666,No,ALTO
53.0,M,UNDECIMO,NO ESPECIFICA,SERVICIOS,0.0,0.03,No,ALTO
47.0,M,NOVENO,NO ESPECIFICA,AGRICOLA,0.0,0.0,No,ALTO
75.0,M,TECNICO,NO ESPECIFICA,AGRICOLA,0.0,0.16,No,ALTO
65.0,F,NINGUNO,NO ESPECIFICA,SERVICIOS,0.0,0.03,No,ALTO
50.0,M,QUINTO,NO ESPECIFICA,SERVICIOS,0.0,0.0,No,ALTO
33.0,M,TECNICO,SOLTERO/A,MANUFACTURERO,0.0,0.04,No,ALTO
57.0,F,QUINTO,UNION LIBRE,SERVICIOS,0.0,0.46,Sí,MEDIO
22.0,F,PROFESIONAL,UNION LIBRE,SERVICIOS,0.0,0.0333333333333333,No,ALTO
35.0,F,TECNICO,SOLTERO/A,MANUFACTURERO,0.0,0.3313492063492064,No,MEDIO
35.0,M,PROFESIONAL,CASADO/A,SERVICIOS,0.0,0.1183333333333333,No,ALTO
40.0,F,PROFESIONAL,SOLTERO/A,SERVICIOS,0.0,0.2,No,ALTO
40.0,M,UNDECIMO,CASADO/A,MANUFACTURERO,0.0,0.24,No,ALTO
39.0,F,TECNICO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
59.0,F,PROFESIONAL,UNION LIBRE,SERVICIOS,0.0,0.04,No,ALTO
23.0,M,PROFESIONAL,SOLTERO/A,SERVICIOS,0.0,0.03,No,ALTO
44.0,F,PROFESIONAL,SOLTERO/A,MANUFACTURERO,0.0,0.03,No,ALTO
30.0,M,PROFESIONAL,SOLTERO/A,MANUFACTURERO,0.0,0.0,No,ALTO
35.0,M,NOVENO,UNION LIBRE,MANUFACTURERO,0.0,0.04,No,ALTO
30.0,M,UNDECIMO,SOLTERO/A,SERVICIOS,0.0,0.01,No,ALTO
43.0,F,PROFESIONAL,CASADO/A,MANUFACTURERO,0.0,0.0,No,ALTO
55.0,F,TECNICO,SEPARADO/A,MANUFACTURERO,0.0,0.02,No,ALTO
25.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,0.0,0.0,No,ALTO
67.0,M,QUINTO,CASADO/A,MANUFACTURERO,0.0,0.08,No,ALTO
24.0,F,TECNICO,SOLTERO/A,SERVICIOS,0.0,0.05,No,ALTO
50.0,F,TERCERO,SOLTERO/A,MANUFACTURERO,0.0,0.02,No,ALTO
